airline_id,name,country_name
530,Aviation Services,AQUILINE
531,Active Aero Charter,ACTIVE AERO
541,Agence Nationale des Aerodromes et de la Meteorologie,Ivory Coast
550,Swaziland Airlink,Swaziland
552,Aerovaradero,AEROVARADERO
554,Airways International,AIRNAT
564,Airwave Transport,AIRWAVE
566,Aeroway,AEROWEE
573,Aeron International Airlines,AIR FREIGHTER
584,Axel Rent,RENTAXEL
591,Airman,AIRMAN
592,Atlantic Airlines,ATLANTIC NICARAGUA
606,Azimut,AZIMUT
614,Arizona Airways,ARIZAIR
682,Air Ivoire,Ivory Coast
724,ATRAN Cargo Airlines,Russian Federation
758,Africa One,Democratic Republic of the Congo
764,Air Charter Services,Democratic Republic of the Congo
849,Air S,Air S
881,Atlantic Airways,Faroe Islands
888,African Company Airlines,Democratic Republic of the Congo
984,Asia Aero Survey and Consulting Engineers,Republic of Korea
