route_id,airline_id,source_airport_id,destination_airport_id,codeshare,stops
892,4608,4149,3394,,0
893,4608,4149,4144,,0
894,4608,4110,4030,,0
895,4608,4110,3379,,0
896,4608,6361,3393,,0
897,4608,6361,3395,,0
898,4608,6361,3077,,0
899,4608,8876,3395,,0
900,4608,156,4144,,0
901,4608,6357,3393,,0
902,4608,6357,3077,,0
903,4608,8043,3364,,0
904,4608,8043,6366,,0
905,4608,6355,4109,,0
906,4608,6355,4120,,0
907,20565,3877,3484,,0
908,20565,3484,3877,,0
909,442,1128,1590,,0
910,442,1590,1128,,0
911,2524,8428,2988,,0
912,2524,6151,2988,,0
913,2524,4364,4111,,0
914,2524,4364,2992,,0
915,2524,4364,2988,,0
916,2524,6143,6140,,0
917,2524,6143,2988,,0
918,2524,6140,6143,,0
919,2524,6140,2975,,0
920,2524,6140,2988,,0
921,2524,2975,6140,,0
922,2524,4111,4364,,0
923,2524,4368,2988,,0
924,2524,2992,4364,,0
925,2524,2988,8428,,0
926,2524,2988,6151,,0
927,2524,2988,4364,,0
928,2524,2988,6143,,0
929,2524,2988,6140,,0
930,2524,2988,4368,,0
931,8463,3885,3076,,0
932,8463,6176,3076,,0
933,8463,3043,3069,,0
934,8463,3043,3076,,0
935,8463,3069,3043,,0
936,8463,3069,3076,,0
937,8463,3069,2194,,0
938,8463,3068,3076,,0
939,8463,3076,3885,,0
940,8463,3076,6176,,0
941,8463,3076,3043,,0
942,8463,3076,3069,,0
943,8463,3076,3068,,0
944,8463,3076,2188,,0
945,8463,3076,2072,,0
946,8463,3076,3071,,0
947,8463,3076,3125,,0
948,8463,3076,3304,,0
949,8463,3076,2194,,0
950,8463,3076,3073,,0
951,8463,3076,3074,,0
952,8463,2188,3076,,0
953,8463,2072,3076,,0
954,8463,3071,3076,,0
955,8463,3125,3076,,0
956,8463,3304,3076,,0
957,8463,2194,3069,,0
958,8463,2194,3076,,0
959,8463,3072,3076,,0
960,8463,3073,3076,,0
961,8463,3073,3072,,0
962,8463,3074,3076,,0
963,29,5498,128,,0
964,29,128,5498,,0
965,3201,3670,3988,Y,0
966,3201,3988,3670,Y,0
967,3201,3988,3797,Y,0
968,3201,3988,3576,,0
969,3201,3988,1760,,0
970,3201,3797,3988,Y,0
